;BuildingType;PrimaryPropertyType;Neighborhood;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;SiteEnergyUseWN(kBtu);TotalGHGEmissions;Electricity_Part;NaturalGas_Part;Steam_Part;ParkingGFA_Part;BuildingAge
1202;NonResidential;Refrigerated Warehouse;GREATER DUWAMISH;0.6931471805599453;0.6931471805599453;10.213322429629041;0.0;10.213322429629041;Refrigerated Warehouse;9.99884318585288;Other;7.901377353792616;Office;7.824445930877619;14.694366365215227;2.9025198918318122;102.59537255230096;0.0;0.0;0.0;4.07753744390572
1203;NonResidential;Warehouse;GREATER DUWAMISH;0.6931471805599453;0.6931471805599453;10.359962581552038;0.0;10.359962581552038;Non-Refrigerated Warehouse;10.404293143019792;none;0.0;none;0.0;15.02296320062363;4.840953517648737;24.06587598267479;67.53600649575839;0.0;0.0;4.1588830833596715
1204;NonResidential;Warehouse;GREATER DUWAMISH;0.6931471805599453;0.6931471805599453;10.021714933900778;0.0;10.021714933900778;Non-Refrigerated Warehouse;10.021714933900778;none;0.0;none;0.0;12.08849219691415;0.8064758658669485;100.00011422125041;0.0;0.0;0.0;4.248495242049359
1205;NonResidential;Warehouse;GREATER DUWAMISH;0.6931471805599453;0.6931471805599453;10.59625966276599;0.0;10.59625966276599;Non-Refrigerated Warehouse;10.347692488960224;Office;9.082620630373812;none;0.0;13.966970119980042;3.632838063230311;37.58406796901069;54.648686615582186;0.0;0.0;4.248495242049359
1206;NonResidential;Worship Facility;EAST;0.6931471805599453;0.6931471805599453;10.18267111473301;0.0;10.18267111473301;Worship Facility;10.18267111473301;none;0.0;none;0.0;13.624684364048196;3.3648791189880436;27.033971657293655;60.092570551744906;0.0;0.0;4.787491742782046
1207;NonResidential;Self-Storage Facility;GREATER DUWAMISH;0.6931471805599453;1.0986122886681096;10.268165387743457;0.0;10.268165387743457;Self-Storage Facility;10.268165387743457;none;0.0;none;0.0;14.051931868394059;3.415757532993485;53.57656245451419;36.72262377197566;0.0;0.0;4.248495242049359
1208;NonResidential;K-12 School;CENTRAL;1.6094379124341003;1.0986122886681096;10.25769445336048;0.0;10.25769445336048;K-12 School;10.344995251991222;none;0.0;none;0.0;14.078464264061525;3.389124800427886;55.16036518496223;34.2147758377663;0.0;0.0;2.833213344056216
1209;NonResidential;Restaurant;LAKE UNION;0.6931471805599453;1.0986122886681096;10.185654444299798;0.0;10.185654444299798;Restaurant;9.517310233335248;Office;9.467150780760877;none;0.0;15.128444936347366;4.587718792374336;58.394205749483994;41.605794250516;0.0;0.0;3.8712010109078907
1210;NonResidential;Mixed Use Property;LAKE UNION;0.6931471805599453;1.0986122886681096;10.45276436267637;9.642317574624458;9.86464276871256;Restaurant;10.059379572493102;Other;9.886341393701157;Parking;9.642317574624458;16.585648717526546;6.247481788695952;41.616511614239805;55.375137571097454;0.0;44.464332111204136;3.6375861597263857
1211;NonResidential;Other;MAGNOLIA / QUEEN ANNE;0.6931471805599453;1.0986122886681096;10.177362240256695;0.0;10.177362240256695;Other - Entertainment/Public Assembly;10.177362240256695;none;0.0;none;0.0;15.12685882657491;4.770176020572358;41.44034783611543;53.8891072984202;0.0;0.0;4.653960350157523
1212;NonResidential;Restaurant;LAKE UNION;0.0;1.0986122886681096;10.436260560784943;0.0;10.436260560784943;Restaurant;10.436260560784943;none;0.0;none;0.0;15.762523955360129;5.4285119482058635;38.01785343776283;55.94937644536901;0.0;0.0;4.1588830833596715
1213;NonResidential;Small- and Mid-Sized Office;LAKE UNION;0.6931471805599453;1.3862943611198906;10.058609189403429;0.0;10.058609189403429;Office;9.994972242658307;none;0.0;none;0.0;13.641812164597564;1.925707441737794;99.999955386321;0.0;0.0;0.0;4.343805421853684
1214;NonResidential;Small- and Mid-Sized Office;MAGNOLIA / QUEEN ANNE;0.6931471805599453;1.6094379124341003;10.336600252573104;0.0;10.336600252573104;Office;10.283839959829217;Restaurant;7.074116816197362;none;0.0;15.161025306478283;4.627029520340985;49.06808938451616;43.186045483631;0.0;0.0;4.110873864173311
1215;NonResidential;Other;NORTHEAST;0.6931471805599453;0.6931471805599453;9.920000460910341;0.0;9.920000460910341;Other;9.920000460910341;none;0.0;none;0.0;12.97585370144484;2.4840729690394228;49.53645753961483;41.392571019127686;0.0;0.0;4.382026634673881
1216;NonResidential;Worship Facility;CENTRAL;0.6931471805599453;0.6931471805599453;9.992001966066868;0.0;9.992001966066868;Worship Facility;9.992001966066868;none;0.0;none;0.0;12.793758176985145;2.645465325910589;22.7957019460726;65.48958254561839;0.0;0.0;4.836281906951478
1217;NonResidential;Mixed Use Property;NORTHEAST;0.6931471805599453;1.6094379124341003;10.382296054868503;8.851663425366777;10.138480620207487;Multifamily Housing;9.441531454869693;Parking;8.851663425366777;Other;8.79133399330135;14.22143980834175;3.5729072778615154;56.75082459689729;35.987116972356894;0.0;21.637445015798278;3.367295829986474
1218;NonResidential;Large Office;DOWNTOWN;0.6931471805599453;2.639057329615259;12.63641896632877;11.327378712820579;12.321604259749392;Office;11.997959322297518;Parking;11.327378712820579;Multifamily Housing;10.91628774479009;16.08678092298112;4.209457369322605;98.15432869183789;0.0;0.0;27.007676625796194;3.7612001156935624
1219;NonResidential;Self-Storage Facility;MAGNOLIA / QUEEN ANNE;0.6931471805599453;1.0986122886681096;10.250970378105945;0.0;10.250970378105945;Self-Storage Facility;10.250970378105945;none;0.0;none;0.0;13.119089837815402;2.553343811341229;47.85268725491718;38.4914743343757;0.0;0.0;4.68213122712422
1220;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;1.6094379124341003;10.725489582719506;0.0;10.725489582719506;Hotel;10.725489582719506;none;0.0;none;0.0;14.891993198923126;4.812184355372417;36.449534592838916;26.885166737281658;32.07330875255818;0.0;4.718498871295094
1221;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.6931471805599453;1.791759469228055;10.555213600795284;0.0;10.555213600795284;Office;10.283942497640124;Retail Store;7.787382026484701;none;0.0;14.57746455937149;2.731115474033206;96.08279277418572;0.0;0.0;0.0;4.836281906951478
1222;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.6931471805599453;1.6094379124341003;10.664410197176586;0.0;10.664410197176586;Office;10.090838109351523;Retail Store;8.792397742356906;none;0.0;14.28428405590865;3.861361090625918;48.14778427465783;48.50247053876268;0.0;0.0;4.836281906951478
1223;NonResidential;Mixed Use Property;DOWNTOWN;0.0;1.791759469228055;10.961295207644392;0.0;10.961295207644392;Residence Hall/Dormitory;10.225607282932941;Multifamily Housing;9.680406499268875;Financial Office;8.853808274977197;15.810969766828336;5.413251904640136;43.4761287996499;51.46860634628491;0.0;0.0;3.044522437723423
1224;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.6931471805599453;1.6094379124341003;10.413342705547674;0.0;10.413342705547674;Office;10.190169124654325;Restaurant;7.944846711001996;Retail Store;7.774015077250727;14.120027254604146;2.983659692319722;79.31622305385413;15.634138993641814;0.0;0.0;4.836281906951478
1225;NonResidential;Other;DOWNTOWN;0.6931471805599453;1.3862943611198906;10.007892611890918;0.0;10.007892611890918;Other;10.007892611890918;none;0.0;none;0.0;12.353837668090748;2.085672091430472;27.799787758219463;53.60990209660329;0.0;0.0;4.836281906951478
1226;NonResidential;Warehouse;MAGNOLIA / QUEEN ANNE;0.6931471805599453;1.0986122886681096;10.292111643448266;0.0;10.292111643448266;Non-Refrigerated Warehouse;9.890908770329268;Office;9.121399862679535;none;0.0;15.184240692199511;3.9328055446106744;82.7834276059761;13.108661544738128;0.0;0.0;4.060443010546419
1227;NonResidential;Warehouse;LAKE UNION;0.6931471805599453;0.6931471805599453;10.045464431431677;0.0;10.045464431431677;Non-Refrigerated Warehouse;10.045464431431677;none;0.0;none;0.0;13.094964045577262;1.4469189829363254;95.92745926938956;0.0;0.0;0.0;4.477336814478207
1228;NonResidential;Small- and Mid-Sized Office;LAKE UNION;0.6931471805599453;1.6094379124341003;10.786242183190828;0.0;10.786242183190828;;;none;0.0;none;0.0;15.003645553702347;3.139399623366404;96.56123040986078;0.0;0.0;0.0;2.8903717578961645
1229;NonResidential;Retail Store;NORTHEAST;0.6931471805599453;0.6931471805599453;10.737700173374677;0.0;10.737700173374677;Retail Store;10.736418414365374;none;0.0;none;0.0;14.320411264019398;3.0754672415728446;82.93441653287623;12.58929757004382;0.0;0.0;4.564348191467836
1230;NonResidential;Medical Office;NORTHEAST;0.6931471805599453;1.0986122886681096;10.068832485122966;0.0;10.068832485122966;Medical Office;10.068832485122966;none;0.0;none;0.0;13.621583365555844;2.018895041811802;97.04803000424145;2.186309464644633;0.0;0.0;4.02535169073515
1231;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.6931471805599453;1.3862943611198906;10.245053934794061;0.0;10.245053934794061;Office;10.245053934794061;none;0.0;none;0.0;13.7224684416583;3.5576311675039825;45.447964141083155;10.138899387631044;37.38287348476856;0.0;4.836281906951478
1232;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.6931471805599453;1.3862943611198906;10.266775581745106;0.0;10.266775581745106;Office;9.418573310554638;Retail Store;8.703008637464448;Non-Refrigerated Warehouse;8.699681400989514;14.818392753676871;4.833022633030035;20.989486273886566;56.60122002764545;18.36865481401406;0.0;4.836281906951478
1233;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.6931471805599453;1.6094379124341003;10.572111481163375;0.0;10.572111481163375;Office;10.37355367982882;Retail Store;8.807771066980044;none;0.0;13.558455568072059;2.6871669901857858;67.80360286894371;24.437988732902053;0.0;0.0;4.820281565605037
1234;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.0;1.3862943611198906;10.76248809718272;0.0;10.76248809718272;Office;10.071541137532378;Retail Store;10.015788924623273;none;0.0;14.574865334730719;4.171459912439625;74.76147645931295;46.4137234568271;0.0;0.0;4.762173934797756
1235;Nonresidential COS;Other;EAST;0.6931471805599453;1.0986122886681096;11.02810866038529;10.203629181337648;10.451059677269122;Other;10.499049467245019;Parking;10.049966018914851;none;0.0;15.317304349297283;4.256038151220088;74.10337960964061;19.43094853381642;0.0;43.84540435206235;4.605170185988092
1236;NonResidential;Small- and Mid-Sized Office;EAST;0.6931471805599453;1.3862943611198906;10.332701738815134;0.0;10.332701738815134;Office;10.29960914564114;Retail Store;6.90875477931522;none;0.0;14.123934705998357;3.2782761681496484;68.32436228549328;26.341805095178078;0.0;0.0;4.6913478822291435
1237;NonResidential;Mixed Use Property;EAST;0.6931471805599453;1.0986122886681096;9.935034668034257;0.0;9.935034668034257;Retail Store;9.18512512283512;Office;9.128370809108931;Restaurant;7.804251383528112;12.930145185186781;1.355835153635182;99.99990151792947;0.0;0.0;0.0;4.700480365792417
1238;NonResidential;Mixed Use Property;EAST;0.6931471805599453;1.0986122886681096;10.460671815280136;0.0;10.460671815280136;Retail Store;9.614738244123924;Restaurant;9.272281773516365;Office;8.67214355141406;14.088948284712878;2.331172549845958;101.43140852104777;0.0;0.0;0.0;4.736198448394496
1239;NonResidential;Small- and Mid-Sized Office;EAST;0.6931471805599453;1.3862943611198906;9.947408739594056;0.0;9.947408739594056;Office;9.232982102457008;Retail Store;8.141481041457421;Non-Refrigerated Warehouse;8.131824785007195;13.846500556914265;2.933324813425374;70.3113086529316;23.23674240115837;0.0;0.0;4.787491742782046
1240;NonResidential;Retail Store;EAST;0.6931471805599453;1.0986122886681096;10.517077324312647;0.0;10.517077324312647;Retail Store;10.517077324312647;none;0.0;none;0.0;12.727085422500744;1.208960345836975;99.99987934505047;0.0;0.0;0.0;4.700480365792417
1241;NonResidential;Small- and Mid-Sized Office;EAST;0.6931471805599453;1.3862943611198906;10.037450102199095;0.0;10.037450102199095;Office;10.037450102199095;none;0.0;none;0.0;14.009357833573832;3.080073421987742;72.32456198611943;22.714618743833846;0.0;0.0;4.727387818712341
1242;NonResidential;Retail Store;EAST;0.6931471805599453;0.6931471805599453;10.316953898529778;0.0;10.316953898529778;Retail Store;10.379908049577942;Restaurant;6.5722825426940075;none;0.0;14.090792376575855;2.9543893100196086;80.5954435062779;15.43510397423648;0.0;0.0;4.663439094112067
1243;NonResidential;Other;NORTHEAST;0.6931471805599453;1.0986122886681096;10.260707348016298;0.0;10.260707348016298;Other;10.204443634218446;none;0.0;none;0.0;15.440468410656402;3.594568774642695;99.99998030799865;0.0;0.0;0.0;4.1588830833596715
